OBJECTID,ALC_Score,BLOS_SCORE,DEST_SCORE,INTER_SCORE,JOBS_SCORE,POP_SCORE,TRANSIT_SCORE,BIKE_SCORE
156115,61.5,2.4,21.6,14,4.5,2,5,12
156116,70.4,2.4,30,14,4.5,2.5,5,12
156117,65.7,1.8,32.4,14,4.5,1,5,7
156118,66.5,2.4,33.6,14,4.5,2,5,5
156119,34.1,2.4,3.2,16,4.5,1,5,2
156120,43.7,1.2,18,12,4.5,2,5,1
156121,30.4,1.8,11.6,13,2,1,0,1
156122,20.9,2.4,2,8,3,1,3.5,1
156123,25.6,1.8,4.8,11,2.5,1,3.5,1
156124,15.5,3,0,7,1.5,1,2,1
156125,16.5,3,0,8,1.5,1,2,1
156126,17.5,3,0,9,1.5,1,2,1
156127,19.7,3,1.2,10,1.5,1,2,1
156128,34.4,2.4,18,8,2,1,2,1
156129,35.4,2.4,18,8,2,1,2,2
156130,20.8,1.8,4,8,3,1,2,1
156131,21.9,2.4,8,3,3.5,1,2,2
156132,38.3,2.4,10.4,15,4.5,1,2,3
156133,34.9,2.4,10,9,4.5,1,5,3
156134,35.9,2.4,10,10,4.5,1,5,3
156135,36.9,2.4,10,11,4.5,1,5,3
156136,39.8,1.2,11.6,13,4.5,0.5,5,4
156137,27.3,1.2,1.6,10,4.5,1,5,4
156138,32.9,1.2,7.2,10,4.5,1,5,4
156139,48.8,1.8,20,10,4.5,1.5,5,5
156140,48.8,1.8,20,11,4.5,1.5,5,5
156141,46.8,1.8,20,10,4,1,5,5
156142,46.4,1.8,19.6,10,4,1,5,5
156143,34.2,1.8,4.4,12,4.5,1.5,5,5
156144,34.5,1.8,3.2,14,4,0.5,5,6
156145,35.5,1.8,3.2,15,4,0.5,5,6
156146,41.9,1.8,9.6,15,4,0.5,5,6
156147,42.9,1.8,11.6,14,4,0.5,5,6
156148,35.3,1.8,2,11,4.5,1,5,10
156149,34.3,1.8,2,10,4.5,1,5,10
156150,33.3,1.8,2,9,4.5,1,5,10
156151,48.8,1.8,10,15,4.5,0.5,5,12
156152,38.7,1.8,4.4,15,4.5,2,5,6
156153,35.9,1.8,1.6,15,4.5,2,5,6
156154,37.5,1.8,3.2,15,4.5,2,5,6
156155,55.9,1.8,21.6,15,4.5,2,5,6
156156,63.1,2.4,23.2,14,4.5,2,5,12
156157,53,1.8,25.2,15,4.5,0.5,5,1
156158,54.5,1.8,17.2,16,4.5,2,5,8
156159,45.4,0.6,14.8,8,4.5,0.5,5,12
156160,14.7,1.2,0,7,0,0.5,5,1
156161,28.8,1.8,10,13,2,1,0,1
156162,31.4,1.8,11.6,14,2,1,0,1
156163,34.6,2.4,11.2,13,2.5,1,3.5,1
156164,26.6,1.8,4.8,12,2.5,1,3.5,1
156165,9.8,1.8,0,0,3,0.5,3.5,1
156166,9.8,1.8,0,0,2.5,1,3.5,1
156167,15.6,3,1.6,6,1,1,2,1
156168,15.1,3,1.6,6,1,1,1.5,1
156169,13.5,3,0,6,1,1,1.5,1
156170,14,3,0,6,1,1,2,1
156171,17.1,3,1.6,7,1.5,1,2,1
156172,24.1,3,5.6,10,1.5,1,2,1
156173,18.5,3,2,8,1,1.5,2,1
